index	nameMatchValidation	taxonID	datasetName	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey
0	exact match with gbifapi_canonicalName		fishes	Acipenser baerii	Acipenser baeri		Animalia								Siberian sturgeon			A						AQ, OR			AS									2001							4353044	Acipenser baeri Brandt, 1869	Acipenser baeri	SYNONYM	SPECIES	EXACT	100	4287131
1	exact match with gbifapi_canonicalName		fishes	Acipenser guldenstaedtii	Acipenser guldenstaedti		Animalia								Russian sturgeon			A						AQ, OR			EE									2005							2402131	Acipenser guldenstaedti Brandt & Ratzeberg, 1833	Acipenser guldenstaedti	SYNONYM	SPECIES	EXACT	100	2402129
2	ok		fishes	Acipenser ruthenus	Acipenser ruthenus		Animalia								Sterlet			A						AQ, OR			EE									20xx							2402168	Acipenser ruthenus Linnaeus, 1758	Acipenser ruthenus	ACCEPTED	SPECIES	EXACT	100	2402168
3	ok		fishes	Ameiurus nebulosus	Ameiurus nebulosus		Animalia								Brown bullhead			N						AQ, OR												1871							2340989	Ameiurus nebulosus (Lesueur, 1819)	Ameiurus nebulosus	ACCEPTED	SPECIES	EXACT	100	2340989
4	ok		fishes	Aspius aspius	Aspius aspius		Animalia								Asp			N						AN			EE									1984							2360181	Aspius aspius (Linnaeus, 1758)	Aspius aspius	ACCEPTED	SPECIES	EXACT	100	2360181
5	ok		fishes	Carassius auratus	Carassius auratus		Animalia								Goldfish			A						OR			AS									17th c.							4286942	Carassius auratus (Linnaeus, 1758)	Carassius auratus	ACCEPTED	SPECIES	EXACT	100	4286942
6	ok		fishes	Carassius gibelio	Carassius gibelio		Animalia								Gibel carp			N						UN			AS or EE									17th c.							2366634	Carassius gibelio (Bloch, 1782)	Carassius gibelio	ACCEPTED	SPECIES	EXACT	100	2366634
7	ok		fishes	Clarias gariepinus	Clarias gariepinus		Animalia								African catfish			A*						AQ			AFR									1980s							5202793	Clarias gariepinus (Burchell, 1822)	Clarias gariepinus	ACCEPTED	SPECIES	EXACT	100	5202793
8	ok		fishes	Ctenopharyngodon idella	Ctenopharyngodon idella		Animalia								Grass carp			A						BC			AS									1967							2362030	Ctenopharyngodon idella (Valenciennes, 1844)	Ctenopharyngodon idella	ACCEPTED	SPECIES	EXACT	100	2362030
9	ok		fishes	Cyprinus carpio	Cyprinus carpio		Animalia								Common carp			N						AQ			EE									13th c.							4286975	Cyprinus carpio Linnaeus, 1758	Cyprinus carpio	ACCEPTED	SPECIES	EXACT	100	4286975
